5.0,0.0,0.0,0.0
-Infinity,-Infinity,Infinity,Infinity
-Infinity,-Infinity,1009.8606572153249,Infinity
1009.8606572153249,-Infinity,Infinity,Infinity
-Infinity,-Infinity,1009.8606572153249,1009.813979957986
-Infinity,1009.813979957986,1009.8606572153249,Infinity
1009.8606572153249,-Infinity,Infinity,1010.0688010022332
1009.8606572153249,1010.0688010022332,Infinity,Infinity
-Infinity,-Infinity,1009.8606572153249,509.62808309838204
-Infinity,509.62808309838204,1009.8606572153249,1009.813979957986
-Infinity,1009.813979957986,1009.8606572153249,1509.7741217210537
-Infinity,1509.7741217210537,1009.8606572153249,Infinity
1009.8606572153249,-Infinity,1509.9928375492113,1010.0688010022332
1509.9928375492113,-Infinity,Infinity,1010.0688010022332
1009.8606572153249,1010.0688010022332,1510.101986602914,Infinity
1510.101986602914,1010.0688010022332,Infinity,Infinity
-Infinity,-Infinity,510.4111185764125,509.62808309838204
510.4111185764125,-Infinity,1009.8606572153249,509.62808309838204
-Infinity,509.62808309838204,510.0844866479268,1009.813979957986
510.0844866479268,509.62808309838204,1009.8606572153249,1009.813979957986
-Infinity,1009.813979957986,509.6951365674292,1509.7741217210537
509.6951365674292,1009.813979957986,1009.8606572153249,1509.7741217210537
-Infinity,1509.7741217210537,509.8625415425457,Infinity
509.8625415425457,1509.7741217210537,1009.8606572153249,Infinity
1009.8606572153249,-Infinity,1509.9928375492113,509.80342387151444
1009.8606572153249,509.80342387151444,1509.9928375492113,1010.0688010022332
1509.9928375492113,-Infinity,Infinity,509.83145509654696
1509.9928375492113,509.83145509654696,Infinity,1010.0688010022332
1009.8606572153249,1010.0688010022332,1510.101986602914,1510.0246617598054
1009.8606572153249,1510.0246617598054,1510.101986602914,Infinity
1510.101986602914,1010.0688010022332,Infinity,1509.9723318480978
1510.101986602914,1509.9723318480978,Infinity,Infinity
-Infinity,-Infinity,259.9890793927465,509.62808309838204
259.9890793927465,-Infinity,510.4111185764125,509.62808309838204
510.4111185764125,-Infinity,1009.8606572153249,260.0103382300082
510.4111185764125,260.0103382300082,1009.8606572153249,509.62808309838204
-Infinity,509.62808309838204,510.0844866479268,760.0206845150585
-Infinity,760.0206845150585,510.0844866479268,1009.813979957986
510.0844866479268,509.62808309838204,1009.8606572153249,760.0609480485937
510.0844866479268,760.0609480485937,1009.8606572153249,1009.813979957986
-Infinity,1009.813979957986,509.6951365674292,1260.0038706003097
-Infinity,1260.0038706003097,509.6951365674292,1509.7741217210537
509.6951365674292,1009.813979957986,759.9881025699483,1509.7741217210537
759.9881025699483,1009.813979957986,1009.8606572153249,1509.7741217210537
-Infinity,1509.7741217210537,509.8625415425457,1760.0473298533407
-Infinity,1760.0473298533407,509.8625415425457,Infinity
509.8625415425457,1509.7741217210537,1009.8606572153249,1760.0043177984053
509.8625415425457,1760.0043177984053,1009.8606572153249,Infinity
1009.8606572153249,-Infinity,1509.9928375492113,259.96352164801596
1009.8606572153249,259.96352164801596,1509.9928375492113,509.80342387151444
1009.8606572153249,509.80342387151444,1509.9928375492113,759.9812448748085
1009.8606572153249,759.9812448748085,1509.9928375492113,1010.0688010022332
1509.9928375492113,-Infinity,Infinity,259.97539833885827
1509.9928375492113,259.97539833885827,Infinity,509.83145509654696
1509.9928375492113,509.83145509654696,Infinity,760.0506392220448
1509.9928375492113,760.0506392220448,Infinity,1010.0688010022332
1009.8606572153249,1010.0688010022332,1259.9901187762857,1510.0246617598054
1259.9901187762857,1010.0688010022332,1510.101986602914,1510.0246617598054
1009.8606572153249,1510.0246617598054,1260.0224138306448,Infinity
1260.0224138306448,1510.0246617598054,1510.101986602914,Infinity
1510.101986602914,1010.0688010022332,1760.0430843625113,1509.9723318480978
1760.0430843625113,1010.0688010022332,Infinity,1509.9723318480978
1510.101986602914,1509.9723318480978,1760.0370502859928,Infinity
1760.0370502859928,1509.9723318480978,Infinity,Infinity
-Infinity,-Infinity,259.9890793927465,259.9994121889589
-Infinity,259.9994121889589,259.9890793927465,509.62808309838204
259.9890793927465,-Infinity,510.4111185764125,259.9852417181577
259.9890793927465,259.9852417181577,510.4111185764125,509.62808309838204
510.4111185764125,-Infinity,760.1011348400929,260.0103382300082
760.1011348400929,-Infinity,1009.8606572153249,260.0103382300082
510.4111185764125,260.0103382300082,759.9600058396754,509.62808309838204
759.9600058396754,260.0103382300082,1009.8606572153249,509.62808309838204
-Infinity,509.62808309838204,259.96720932597475,760.0206845150585
259.96720932597475,509.62808309838204,510.0844866479268,760.0206845150585
-Infinity,760.0206845150585,260.02234748262447,1009.813979957986
260.02234748262447,760.0206845150585,510.0844866479268,1009.813979957986
510.0844866479268,509.62808309838204,759.92650206155,760.0609480485937
759.92650206155,509.62808309838204,1009.8606572153249,760.0609480485937
510.0844866479268,760.0609480485937,760.0124275145992,1009.813979957986
760.0124275145992,760.0609480485937,1009.8606572153249,1009.813979957986
-Infinity,1009.813979957986,259.99540532077447,1260.0038706003097
259.99540532077447,1009.813979957986,509.6951365674292,1260.0038706003097
-Infinity,1260.0038706003097,259.95182801740907,1509.7741217210537
259.95182801740907,1260.0038706003097,509.6951365674292,1509.7741217210537
509.6951365674292,1009.813979957986,759.9881025699483,1259.9750529393632
509.6951365674292,1259.9750529393632,759.9881025699483,1509.7741217210537
759.9881025699483,1009.813979957986,1009.8606572153249,1260.007504609412
759.9881025699483,1260.007504609412,1009.8606572153249,1509.7741217210537
-Infinity,1509.7741217210537,259.98260515775763,1760.0473298533407
259.98260515775763,1509.7741217210537,509.8625415425457,1760.0473298533407
-Infinity,1760.0473298533407,260.03994108142984,Infinity
260.03994108142984,1760.0473298533407,509.8625415425457,Infinity
509.8625415425457,1509.7741217210537,759.9653998418855,1760.0043177984053
759.9653998418855,1509.7741217210537,1009.8606572153249,1760.0043177984053
509.8625415425457,1760.0043177984053,760.0226510981829,Infinity
760.0226510981829,1760.0043177984053,1009.8606572153249,Infinity
1009.8606572153249,-Infinity,1260.0076240103954,259.96352164801596
1260.0076240103954,-Infinity,1509.9928375492113,259.96352164801596
1009.8606572153249,259.96352164801596,1260.0120004155522,509.80342387151444
1260.0120004155522,259.96352164801596,1509.9928375492113,509.80342387151444
1009.8606572153249,509.80342387151444,1260.0044352147336,759.9812448748085
1260.0044352147336,509.80342387151444,1509.9928375492113,759.9812448748085
1009.8606572153249,759.9812448748085,1260.090848588885,1010.0688010022332
1260.090848588885,759.9812448748085,1509.9928375492113,1010.0688010022332
1509.9928375492113,-Infinity,1759.970594402389,259.97539833885827
1759.970594402389,-Infinity,Infinity,259.97539833885827
1509.9928375492113,259.97539833885827,1759.9301119316528,509.83145509654696
1759.9301119316528,259.97539833885827,Infinity,509.83145509654696
1509.9928375492113,509.83145509654696,1759.9846991720924,760.0506392220448
1759.9846991720924,509.83145509654696,Infinity,760.0506392220448
1509.9928375492113,760.0506392220448,1760.0973905782105,1010.0688010022332
1760.0973905782105,760.0506392220448,Infinity,1010.0688010022332
1009.8606572153249,1010.0688010022332,1259.9901187762857,1260.0215589137733
1009.8606572153249,1260.0215589137733,1259.9901187762857,1510.0246617598054
1259.9901187762857,1010.0688010022332,1510.101986602914,1259.9146221487413
1259.9901187762857,1259.9146221487413,1510.101986602914,1510.0246617598054
1009.8606572153249,1510.0246617598054,1260.0224138306448,1759.9741349048788
1009.8606572153249,1759.9741349048788,1260.0224138306448,Infinity
1260.0224138306448,1510.0246617598054,1510.101986602914,1760.0014274932832
1260.0224138306448,1760.0014274932832,1510.101986602914,Infinity
1510.101986602914,1010.0688010022332,1760.0430843625113,1260.0433824226518
1510.101986602914,1260.0433824226518,1760.0430843625113,1509.9723318480978
1760.0430843625113,1010.0688010022332,Infinity,1260.041320351077
1760.0430843625113,1260.041320351077,Infinity,1509.9723318480978
1510.101986602914,1509.9723318480978,1760.0370502859928,1759.982104291599
1510.101986602914,1759.982104291599,1760.0370502859928,Infinity
1760.0370502859928,1509.9723318480978,Infinity,1760.0132122949988
1760.0370502859928,1760.0132122949988,Infinity,Infinity
-Infinity,-Infinity,259.9890793927465,139.29765878887798
-Infinity,139.29765878887798,259.9890793927465,259.9994121889589
-Infinity,259.9994121889589,259.9890793927465,380.69805333083764
-Infinity,380.69805333083764,259.9890793927465,509.62808309838204
259.9890793927465,-Infinity,380.6532903222668,259.9852417181577
380.6532903222668,-Infinity,510.4111185764125,259.9852417181577
259.9890793927465,259.9852417181577,380.6878138376259,509.62808309838204
380.6878138376259,259.9852417181577,510.4111185764125,509.62808309838204
510.4111185764125,-Infinity,760.1011348400929,139.35821416464555
510.4111185764125,139.35821416464555,760.1011348400929,260.0103382300082
760.1011348400929,-Infinity,1009.8606572153249,139.30339487514277
760.1011348400929,139.30339487514277,1009.8606572153249,260.0103382300082
510.4111185764125,260.0103382300082,639.3475501638765,509.62808309838204
639.3475501638765,260.0103382300082,759.9600058396754,509.62808309838204
759.9600058396754,260.0103382300082,880.6490945216121,509.62808309838204
880.6490945216121,260.0103382300082,1009.8606572153249,509.62808309838204
-Infinity,509.62808309838204,259.96720932597475,639.3018953572307
-Infinity,639.3018953572307,259.96720932597475,760.0206845150585
259.96720932597475,509.62808309838204,380.6386608054782,760.0206845150585
380.6386608054782,509.62808309838204,510.0844866479268,760.0206845150585
-Infinity,760.0206845150585,139.2967779478619,1009.813979957986
139.2967779478619,760.0206845150585,260.02234748262447,1009.813979957986
260.02234748262447,760.0206845150585,510.0844866479268,880.6447023021502
260.02234748262447,880.6447023021502,510.0844866479268,1009.813979957986
510.0844866479268,509.62808309838204,759.92650206155,639.3244435747038
510.0844866479268,639.3244435747038,759.92650206155,760.0609480485937
759.92650206155,509.62808309838204,880.6802830558211,760.0609480485937
880.6802830558211,509.62808309838204,1009.8606572153249,760.0609480485937
510.0844866479268,760.0609480485937,639.2441029524036,1009.813979957986
639.2441029524036,760.0609480485937,760.0124275145992,1009.813979957986
760.0124275145992,760.0609480485937,880.6212363191479,1009.813979957986
880.6212363191479,760.0609480485937,1009.8606572153249,1009.813979957986
-Infinity,1009.813979957986,259.99540532077447,1139.3641755343124
-Infinity,1139.3641755343124,259.99540532077447,1260.0038706003097
259.99540532077447,1009.813979957986,509.6951365674292,1139.2953849001358
259.99540532077447,1139.2953849001358,509.6951365674292,1260.0038706003097
-Infinity,1260.0038706003097,259.95182801740907,1380.6215158105183
-Infinity,1380.6215158105183,259.95182801740907,1509.7741217210537
259.95182801740907,1260.0038706003097,509.6951365674292,1380.6594151957888
259.95182801740907,1380.6594151957888,509.6951365674292,1509.7741217210537
509.6951365674292,1009.813979957986,639.406684719985,1259.9750529393632
639.406684719985,1009.813979957986,759.9881025699483,1259.9750529393632
509.6951365674292,1259.9750529393632,639.289163399324,1509.7741217210537
639.289163399324,1259.9750529393632,759.9881025699483,1509.7741217210537
759.9881025699483,1009.813979957986,1009.8606572153249,1139.3909291417194
759.9881025699483,1139.3909291417194,1009.8606572153249,1260.007504609412
759.9881025699483,1260.007504609412,1009.8606572153249,1380.6576183926402
759.9881025699483,1380.6576183926402,1009.8606572153249,1509.7741217210537
-Infinity,1509.7741217210537,259.98260515775763,1639.3267961702775
-Infinity,1639.3267961702775,259.98260515775763,1760.0473298533407
259.98260515775763,1509.7741217210537,380.6839325565596,1760.0473298533407
380.6839325565596,1509.7741217210537,509.8625415425457,1760.0473298533407
-Infinity,1760.0473298533407,260.03994108142984,1880.6558673164795
-Infinity,1880.6558673164795,260.03994108142984,Infinity
260.03994108142984,1760.0473298533407,509.8625415425457,1880.6937786463136
260.03994108142984,1880.6937786463136,509.8625415425457,Infinity
509.8625415425457,1509.7741217210537,759.9653998418855,1639.315238826204
509.8625415425457,1639.315238826204,759.9653998418855,1760.0043177984053
759.9653998418855,1509.7741217210537,1009.8606572153249,1639.294075556699
759.9653998418855,1639.294075556699,1009.8606572153249,1760.0043177984053
509.8625415425457,1760.0043177984053,639.3747237197106,Infinity
639.3747237197106,1760.0043177984053,760.0226510981829,Infinity
760.0226510981829,1760.0043177984053,880.7509490102422,Infinity
880.7509490102422,1760.0043177984053,1009.8606572153249,Infinity
1009.8606572153249,-Infinity,1139.3263058530863,259.96352164801596
1139.3263058530863,-Infinity,1260.0076240103954,259.96352164801596
1260.0076240103954,-Infinity,1509.9928375492113,139.31198008053252
1260.0076240103954,139.31198008053252,1509.9928375492113,259.96352164801596
1009.8606572153249,259.96352164801596,1260.0120004155522,380.75843269605593
1009.8606572153249,380.75843269605593,1260.0120004155522,509.80342387151444
1260.0120004155522,259.96352164801596,1509.9928375492113,380.66583914347007
1260.0120004155522,380.66583914347007,1509.9928375492113,509.80342387151444
1009.8606572153249,509.80342387151444,1260.0044352147336,639.3654598263256
1009.8606572153249,639.3654598263256,1260.0044352147336,759.9812448748085
1260.0044352147336,509.80342387151444,1380.7015351632665,759.9812448748085
1380.7015351632665,509.80342387151444,1509.9928375492113,759.9812448748085
1009.8606572153249,759.9812448748085,1139.3136420617525,1010.0688010022332
1139.3136420617525,759.9812448748085,1260.090848588885,1010.0688010022332
1260.090848588885,759.9812448748085,1380.6772291628838,1010.0688010022332
1380.6772291628838,759.9812448748085,1509.9928375492113,1010.0688010022332
1509.9928375492113,-Infinity,1759.970594402389,139.37002120487134
1509.9928375492113,139.37002120487134,1759.970594402389,259.97539833885827
1759.970594402389,-Infinity,1880.7011690131815,259.97539833885827
1880.7011690131815,-Infinity,Infinity,259.97539833885827
1509.9928375492113,259.97539833885827,1759.9301119316528,380.7771187211655
1509.9928375492113,380.7771187211655,1759.9301119316528,509.83145509654696
1759.9301119316528,259.97539833885827,Infinity,380.62040172176086
1759.9301119316528,380.62040172176086,Infinity,509.83145509654696
1509.9928375492113,509.83145509654696,1759.9846991720924,639.3250812307575
1509.9928375492113,639.3250812307575,1759.9846991720924,760.0506392220448
1759.9846991720924,509.83145509654696,Infinity,639.3550689729389
1759.9846991720924,639.3550689729389,Infinity,760.0506392220448
1509.9928375492113,760.0506392220448,1639.3823011939612,1010.0688010022332
1639.3823011939612,760.0506392220448,1760.0973905782105,1010.0688010022332
1760.0973905782105,760.0506392220448,1880.6924058671725,1010.0688010022332
1880.6924058671725,760.0506392220448,Infinity,1010.0688010022332
1009.8606572153249,1010.0688010022332,1139.3384315800604,1260.0215589137733
1139.3384315800604,1010.0688010022332,1259.9901187762857,1260.0215589137733
1009.8606572153249,1260.0215589137733,1139.3148056633095,1510.0246617598054
1139.3148056633095,1260.0215589137733,1259.9901187762857,1510.0246617598054
1259.9901187762857,1010.0688010022332,1380.599175357904,1259.9146221487413
1380.599175357904,1010.0688010022332,1510.101986602914,1259.9146221487413
1259.9901187762857,1259.9146221487413,1380.6498961208551,1510.0246617598054
1380.6498961208551,1259.9146221487413,1510.101986602914,1510.0246617598054
1009.8606572153249,1510.0246617598054,1139.329483937207,1759.9741349048788
1139.329483937207,1510.0246617598054,1260.0224138306448,1759.9741349048788
1009.8606572153249,1759.9741349048788,1260.0224138306448,1880.7191910642757
1009.8606572153249,1880.7191910642757,1260.0224138306448,Infinity
1260.0224138306448,1510.0246617598054,1380.6996595974413,1760.0014274932832
1380.6996595974413,1510.0246617598054,1510.101986602914,1760.0014274932832
1260.0224138306448,1760.0014274932832,1380.7430732720109,Infinity
1380.7430732720109,1760.0014274932832,1510.101986602914,Infinity
1510.101986602914,1010.0688010022332,1639.2929702931704,1260.0433824226518
1639.2929702931704,1010.0688010022332,1760.0430843625113,1260.0433824226518
1510.101986602914,1260.0433824226518,1639.30627577606,1509.9723318480978
1639.30627577606,1260.0433824226518,1760.0430843625113,1509.9723318480978
1760.0430843625113,1010.0688010022332,Infinity,1139.3861067978034
1760.0430843625113,1139.3861067978034,Infinity,1260.041320351077
